Variante,N_Präfixe,MAE_h,R2,Mean_Residual_h,Median_Residual_h,P90_Absolute_Error_h
BPIC14 — interner Test,35533,38.54441668049963,-0.02225521973086364,-15.133631000945913,7.85035823414119,103.87907320555685
BPIC13 — Zero-Shot,40380,147.4131206833174,-1.2149018280702202,-138.85890115476664,-158.0661690126948,307.06981046169386
BPIC13 — Bias-korrigiert,40380,691.388412142297,-29.69631146631452,691.388412142297,710.845057469114,871.8348630246696
Helpdesk — Zero-Shot,16706,637.1512931636713,-2.168942179165424,-622.5618928139362,-723.8125580631606,1128.4659267707175
Helpdesk — Bias-korrigiert,16706,343.0459497910145,0.05479250333496288,13.793278764263599,-58.0773486167904,686.0651513832096
