Datensatz,Methode,Temperatur,N_Test_Präfixe,Accuracy,Precision_macro,Recall_macro,F1_macro,F1_weighted,AUC_OvR_weighted,LogLoss,Brier,ECE
BPIC13,Zero-Shot,1.0,40380,0.45235264982664686,0.30375965777677655,0.4184361272917843,0.27918533993087913,0.45484843479245907,0.568687180997935,1.983121313438248,0.8460109490070754,0.2179062612232943
BPIC13,Temperature-scaled,3.685629824948146,40380,0.45235264982664686,0.30375965777677655,0.4184361272917843,0.27918533993087913,0.45484843479245907,0.5714738963618504,1.44015485866961,0.7735709795746575,0.2388294592461922
Helpdesk Italien,Zero-Shot,1.0,16706,0.2903148569376272,0.2650317588379738,0.26668793277707065,0.23220852277693235,0.3052329805027973,0.5098817223136872,3.1606421192696006,1.184680145341679,0.4344945928904773
Helpdesk Italien,Temperature-scaled,54.59529716542858,16706,0.2903148569376272,0.2650317588379738,0.26668793277707065,0.23220852277693235,0.3052329805027973,0.5056865736466452,1.3933184869957116,0.7535815792709857,0.029261111627719993
